指标,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
北京市,0,0,0,0,0,0,5192.47,5516.39,5129.81,5070.0,4605.0,4608.0,4794.68,5149.0,5416.0,5044.61,4356.68,4459.13,4580,4026.3
天津市,0,0,0,0,0,0,1182.54,1109.85,3751.47,3556.87,3298.11,2992.1,2591.28,2226.41,1755.53,1419.51,1182.64,1001.39,779,625.9
河北省,0,0,0,0,0,0,740.23,646.67,578.69,552.41,501.91,534.19,585.78,544.94,447.65,350.71,307.81,273.95,309,243.1
山西省,0,0,0,0,0,0,409.95,377.98,350.14,317.38,297.1,280.73,822.68,720.24,567.19,464.6,377.94,300.65,222,164.2
内蒙古自治区,0,0,0,0,0,0,1340.09,1272.1,1245.56,1139.03,962.49,1002.96,962.29,771.96,670.97,601.9,558.31,577.19,545,403.7
辽宁省,0,0,0,0,0,0,1739.03,1739.58,1778.06,1823.92,1636.5,1618.0,3477.14,3263.69,2713.14,2259.33,1856.21,1526.18,1228,934.3
吉林省,0,0,0,0,0,0,614.96,685.85,765.79,791.21,724.14,583.9,552.37,494.77,385.28,304.92,242.94,211.44,179,137.2
黑龙江省,0,0,0,0,0,0,645.93,537.06,479.58,458.05,395.33,563.56,604.36,835.48,917.62,762.5,638.68,869.95,643,492.0
上海市,0,0,0,0,0,0,8243.51,7261.39,6698.65,6419.2,5860.44,5601.85,5244.7,5493.23,5751.18,6340.92,4744.02,4971.72,4673,3903.9
江苏省,0,0,0,0,0,0,4743.56,4648.36,4194.72,3803.62,3527.29,3032.71,2379.89,6299.72,5652.97,4783.43,4016.01,3880.2,3469,2786.64
浙江省,0,0,0,0,0,0,2668.24,2595.79,3586.44,3127.59,6788.47,5753.48,5392.93,5151.74,4541.73,3930.2,3223.58,3024.08,2708,2132.7
安徽省,0,0,0,0,0,0,3387.69,3187.57,2880.78,2542.36,2262.87,1840.26,1660.42,1562.67,1179.18,708.98,565.84,454.45,344,226.73
福建省,0,0,0,0,0,0,3398.45,2828.21,7588.03,6625.69,5561.4,4911.8,4573.38,4225.67,3634.44,2978.24,2599.23,2393.53,2169,1471.1
江西省,0,0,0,0,0,0,865.38,745.38,629.92,584.54,567.0,556.87,525.08,484.73,415.0,346.03,289.75,251.7,196,139.61
山东省,0,0,0,0,0,0,3413.14,3292.82,3174.04,3063.42,2896.48,2330.1,2731.2,2923.65,2550.76,2155.04,1765.3,1391.1,1352,1014.05
河南省,0,0,0,0,0,0,946.96,723.23,661.55,646.5,623.6,538.37,659.98,611.41,549.03,498.77,433.03,374.44,318,273.76
湖北省,0,0,0,0,0,0,2654.16,2379.69,2104.74,1872.39,1671.9,1238.51,1218.92,1202.97,940.18,751.16,510.2,442.55,413,320.0
湖南省,0,0,0,0,0,0,2250.87,1520.41,1295.37,1004.57,857.72,799.99,822.69,928.36,1014.34,906.22,672.7,617.42,642,503.36
广东省,0,0,0,0,0,0,20521.31,20511.74,19960.4,18577.13,17884.66,17106.36,16278.07,15610.67,13906.19,12382.61,10028.13,9174.98,8706,7532.79
广西壮族自治区,0,0,0,0,0,0,3511.28,2777.73,2395.63,2164.27,1916.86,1572.07,1547.3,1278.87,1051.88,806.15,643.34,601.66,577,423.12
海南省,0,0,0,0,0,0,972.37,770.52,681.02,349.89,248.52,268.63,337.48,348.02,376.15,322.36,276.66,313.88,302,229.12
重庆市,0,0,0,0,0,0,2524.83,2189.89,1947.59,1686.82,1468.57,1354.44,1268.31,1168.32,968.06,703.2,537.21,449.78,382,308.72
四川省,0,0,0,0,0,0,2023.79,1511.65,1446.54,1581.68,1180.87,857.68,764.76,798.15,593.83,354.09,288.56,153.88,512,395.23
贵州省,0,0,0,0,0,0,345.03,317.63,283.27,252.71,231.33,188.8,201.43,168.94,135.07,129.58,110.44,116.97,129,115.16
云南省,0,0,0,0,0,0,5147.36,4418.0,3550.33,3074.77,2875.5,2420.65,2418.18,1947.08,1608.61,1323.65,1172.21,1007.55,860,658.44
西藏自治区,0,0,0,0,0,0,279.07,247.09,197.51,194.39,176.66,144.69,127.86,105.7,129.63,103.59,78.73,31.12,135,60.94
陕西省,0,0,0,0,0,0,3367.65,3126.66,2704.4,2338.55,2000.22,1768.73,1676.19,1597.47,1295.05,1015.96,771.07,660.11,612,510.87
甘肃省,0,0,0,0,0,0,59.05,28.3,20.86,19.14,14.18,10.17,20.39,22.35,17.4,14.81,12.54,16.03,70,62.93
青海省,0,0,0,0,0,0,33.36,36.13,38.29,44.16,38.76,24.74,19.42,24.32,26.59,20.45,15.42,10.15,16,13.25
宁夏回族自治区,0,0,0,0,0,0,69.32,55.87,37.63,40.58,20.84,18.48,12.08,5.45,6.2,5.99,4.43,3.01,3,2.43
新疆维吾尔自治区,0,0,0,0,0,0,454.0,946.37,810.81,518.73,555.89,497.04,585.02,550.57,465.19,185.42,136.63,135.78,162,128.0
