指标,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
居民人均可支配收入(元),43377.0,41314.0,39218.0,36883.0,35128.0,32189.0,30733.0,28228.0,25974.0,23821.0,21966.0,20167.0,18311.0,16510.0,14551.0,12520.0,10977.0,9957.0,8584.0,7229.0
居民人均可支配收入比上年增长(%),5.0,5.1,6.1,2.9,8.1,2.1,5.8,6.5,7.3,6.3,7.4,8.0,8.1,10.6,10.3,10.4,11.0,9.5,13.3,11.5
居民人均可支配收入中位数(元),36231.0,34707.0,33036.0,31370.0,29975.0,27540.0,26523.0,24336.0,22408.0,20883.0,19281.0,17570.0,15632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
居民人均可支配收入中位数比上年增长(%),4.4,5.1,5.3,4.7,8.8,3.8,9.0,8.6,7.3,8.3,9.7,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
居民人均可支配工资性收入(元),24555.0,23327.0,22053.0,20590.0,19629.0,17917.0,17186.0,15829.0,14620.0,13455.0,12459.0,11421.0,10411.0,9379.0,8313.0,7320.0,6481.0,5841.0,5222.0,4426.0
居民人均可支配工资性收入比上年增长(%),5.3,5.8,7.1,4.9,9.6,4.3,8.6,8.3,8.7,8.0,9.1,9.7,11.0,12.8,13.6,12.9,11.0,11.8,18.0,14.7
居民人均可支配经营净收入(元),7252.0,6908.0,6542.0,6175.0,5893.0,5307.0,5247.0,4852.0,4502.0,4218.0,3956.0,3732.0,3435.0,3172.0,2846.0,2402.0,2154.0,2082.0,1711.0,1511.0
居民人均可支配经营净收入比上年增长(%),5.0,5.6,6.0,4.8,11.0,1.1,8.1,7.8,6.7,6.6,6.0,8.7,8.3,11.5,18.5,11.5,3.5,21.7,13.2,7.2
居民人均可支配财产净收入(元),3490.0,3435.0,3362.0,3227.0,3076.0,2791.0,2619.0,2379.0,2107.0,1889.0,1740.0,1588.0,1423.0,1231.0,1047.0,778.0,589.0,484.0,402.0,260.0
居民人均可支配财产净收入比上年增长(%),1.6,2.2,4.2,4.9,10.2,6.6,10.1,12.9,11.6,8.6,9.6,11.6,15.6,17.5,34.5,32.2,21.6,20.5,54.8,34.7
居民人均可支配转移净收入(元),8080.0,7644.0,7261.0,6892.0,6531.0,6173.0,5680.0,5168.0,4744.0,4259.0,3812.0,3427.0,3042.0,2727.0,2344.0,2019.0,1754.0,1550.0,1248.0,1032.0
居民人均可支配转移净收入比上年增长(%),5.7,5.3,5.4,5.5,5.8,8.7,9.9,8.9,11.4,11.7,11.2,12.6,11.5,16.3,16.1,15.1,13.2,24.2,21.0,11.8
2.人均收入中位数是指将所有调查户按人均收入水平从低到高（或从高到低）顺序排列，处于最中间位置调查户的人均收入。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
