指标,2024,2023,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
国际旅游收入(亿美元),942.4,529.6,1312.54,1271.03,1234.17,1200.0,1136.5,1053.8,516.64,500.28,484.64,458.14,396.75,408.43,419.19,339.49
长途交通国际旅游外汇收入(亿美元),0.0,0.0,401.91,366.31,449.46,446.5,448.5,195.95,174.57,172.78,151.17,130.91,117.41,124.87,111.43,73.76
民航国际旅游外汇收入(亿美元),0.0,0.0,369.02,333.53,304.87,290.6,294.8,145.79,134.1,131.64,114.7,98.08,85.84,90.47,87.91,66.63
铁路国际旅游外汇收入(亿美元),0.0,0.0,14.1,13.52,49.52,53.2,43.2,20.9,16.0,16.46,14.06,12.47,12.77,13.46,7.71,2.79
汽车国际旅游外汇收入(亿美元),0.0,0.0,15.93,13.72,29.43,31.6,32.5,15.68,13.65,15.54,14.06,10.81,9.58,10.47,6.94,3.1
轮船国际旅游外汇收入(亿美元),0.0,0.0,2.85,5.54,65.65,71.0,78.0,13.59,10.82,9.14,8.35,9.56,9.22,10.47,8.87,1.24
游览国际旅游外汇收入(亿美元),0.0,0.0,58.66,53.71,65.04,67.1,44.8,32.54,30.92,25.55,25.32,21.07,20.8,22.02,18.0,9.86
住宿国际旅游外汇收入(亿美元),0.0,0.0,200.49,181.09,122.08,116.3,132.9,69.5,59.76,52.11,50.98,51.95,44.34,48.6,59.38,48.97
餐饮国际旅游外汇收入(亿美元),0.0,0.0,160.41,142.55,103.07,96.2,82.6,48.28,41.28,37.47,35.98,41.15,36.14,38.73,37.48,35.12
商品销售国际旅游外汇收入(亿美元),0.0,0.0,302.97,327.61,229.95,209.5,209.0,113.28,111.82,111.54,118.56,115.9,91.49,85.34,104.94,112.07
娱乐国际旅游外汇收入(亿美元),0.0,0.0,44.21,45.82,74.16,77.1,53.9,36.74,35.91,36.13,34.66,31.72,28.82,29.7,21.1,12.53
邮电通讯国际旅游外汇收入(亿美元),0.0,0.0,7.47,11.62,27.57,28.9,23.9,11.04,7.92,7.91,10.36,10.68,9.55,10.02,7.61,5.11
市内交通国际旅游外汇收入(亿美元),0.0,0.0,34.53,27.76,39.2,40.4,22.4,16.04,14.44,16.1,16.19,14.6,13.29,13.55,12.42,12.01
其他服务国际旅游外汇收入(亿美元),0.0,0.0,101.89,114.54,123.64,118.0,118.6,45.77,40.01,40.68,41.41,40.15,34.91,35.6,46.83,30.06
2.2017年及以前为国际旅游（外汇）收入。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
