指标,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
地区生产总值(亿元),25353.5,26050.8,25653.2,23087.8,18202.7,17311.0,16153.1,14679.1,12160.1,12036.1,12307.0,12171.8,11819.7,11005.1,9004.5,7231.2,7295.8,5991.9,4758.7
第一产业增加值(亿元),1392.4,1365.2,1335.3,1286.7,1166.6,825.3,740.8,719.2,724.3,726.2,736.6,697.6,642.0,586.6,510.4,443.5,373.6,303.5,256.4
第二产业增加值(亿元),10847.7,11940.1,12667.1,10892.5,7440.2,7402.9,7074.5,6635.3,5113.6,5219.7,6378.0,6684.3,6852.7,6750.2,5349.6,4091.2,4389.0,3602.3,2799.3
第三产业增加值(亿元),13113.3,12745.5,11650.9,10908.6,9595.9,9082.7,8337.9,7324.6,6322.2,6090.2,5192.5,4789.9,4325.0,3668.4,3144.5,2696.6,2533.2,2086.1,1703.0
农林牧渔业增加值(亿元),1480.0,1447.0,1411.7,1357.5,1232.0,875.5,788.4,764.1,766.8,767.1,775.9,733.1,674.7,616.2,536.7,466.5,393.5,317.2,276.8
工业增加值(亿元),9732.3,10800.0,11500.9,9790.4,6458.8,6481.9,6260.2,5887.3,4441.2,4597.2,5769.2,6113.9,6330.4,6251.0,4923.9,3739.8,4092.3,3350.9,2578.9
建筑业增加值(亿元),1166.8,1190.6,1210.4,1139.1,1005.3,934.6,819.9,752.9,676.6,626.2,612.9,574.1,525.0,500.8,427.4,352.9,296.7,251.5,220.4
批发和零售业增加值(亿元),1798.8,1807.0,1774.6,1668.7,1380.2,1377.2,1328.3,1148.5,1108.1,1117.1,1026.8,1007.6,1027.9,878.1,721.3,578.6,498.8,398.9,327.4
交通运输、仓储和邮政业增加值(亿元),1432.8,1470.4,1297.6,1284.2,1093.1,1047.9,990.7,859.1,750.5,726.1,648.6,636.7,689.5,615.5,532.7,476.8,555.0,444.9,359.3
住宿和餐饮业增加值(亿元),360.4,335.4,271.1,263.0,202.2,220.9,193.5,176.8,165.8,156.2,133.3,121.6,133.5,116.4,103.2,90.7,76.8,61.2,50.5
金融业增加值(亿元),1478.7,1391.1,1360.5,1291.2,1192.2,1133.4,1081.1,965.1,909.3,849.5,678.3,582.3,476.4,387.2,333.9,269.4,236.7,192.9,150.9
房地产业增加值(亿元),1239.2,1337.3,1209.3,1255.3,1211.1,1173.0,1126.5,1064.8,852.8,816.3,810.5,718.6,519.1,420.1,348.4,290.7,246.0,201.3,163.7
其他行业增加值(亿元),6664.4,6271.9,5617.1,5038.4,4427.9,4066.6,3564.6,3060.7,2488.9,2380.2,1851.6,1683.9,1443.2,1220.0,1076.9,966.1,900.1,773.0,630.9
人均地区生产总值(元/人),73769.0,74999.0,73705.0,66249.0,52105.0,49467.0,46073.0,41791.0,34580.0,34159.0,34847.0,34368.0,33245.0,30842.0,25722.0,21150.0,21448.0,17709.0,14142.0
