指标,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
入境游客(万人次),3188.34,3054.29,2916.53,2815.12,2598.54,2636.08,2629.03,2719.16,2711.2,2612.69,2193.75,2432.53,2610.97,2221.03
亚洲入境游客(万人次),0.0,1912.07,1818.47,1788.19,1659.47,1633.1,1606.0,1662.22,1662.32,1617.86,1377.93,1455.1,1606.12,1358.82
朝鲜入境游客(万人次),0.0,16.52,22.98,21.04,18.83,18.4,20.7,18.06,15.23,11.64,10.56,10.18,11.37,11.01
印度入境游客(万人次),0.0,86.3,82.2,79.97,73.05,71.0,67.7,61.02,60.65,54.93,44.89,43.66,46.25,40.51
印度尼西亚入境游客(万人次),0.0,71.19,68.31,63.37,54.48,56.7,60.5,62.2,60.87,57.34,46.9,42.63,47.71,43.3
日本入境游客(万人次),0.0,269.14,268.3,258.99,249.77,271.8,287.8,351.82,365.82,373.12,331.75,344.61,397.75,374.59
马来西亚入境游客(万人次),0.0,129.15,123.32,116.54,107.55,113.0,120.7,123.55,124.51,124.52,105.9,104.05,106.2,91.06
蒙古入境游客(万人次),0.0,149.43,186.45,158.12,101.41,108.3,105.0,101.05,99.42,79.44,57.67,70.53,68.2,63.12
菲律宾入境游客(万人次),0.0,120.5,116.85,113.51,100.4,96.8,99.7,96.2,89.43,82.83,74.89,79.53,83.3,70.42
新加坡入境游客(万人次),0.0,97.84,94.12,92.46,90.53,97.1,96.7,102.77,106.3,100.37,88.95,87.58,92.2,82.79
韩国入境游客(万人次),0.0,419.35,386.38,477.53,444.44,418.2,396.9,406.99,418.54,407.64,319.75,396.04,477.71,392.4
泰国入境游客(万人次),0.0,83.34,77.67,75.35,64.15,61.3,65.2,64.76,60.8,63.55,54.18,55.43,61.16,59.2
非洲入境游客(万人次),0.0,67.41,62.91,58.88,58.02,59.7,55.3,52.49,48.88,46.36,40.12,37.84,37.91,29.38
欧洲入境游客(万人次),0.0,604.43,591.17,547.15,491.67,551.4,568.8,594.82,593.78,569.79,459.11,612.33,621.68,527.96
英国入境游客(万人次),0.0,60.82,59.18,59.5,57.96,60.5,62.5,61.84,59.57,57.5,52.88,55.15,60.51,55.26
德国入境游客(万人次),0.0,64.37,63.55,62.49,62.34,66.3,64.9,65.96,63.7,60.86,51.85,52.89,55.67,50.06
法国入境游客(万人次),0.0,49.96,49.47,50.38,48.69,51.7,53.4,52.48,49.31,51.27,42.48,43.0,46.34,40.22
意大利入境游客(万人次),0.0,27.81,28.05,26.73,24.61,25.3,25.1,25.2,23.5,22.92,19.14,19.44,21.52,19.53
荷兰入境游客(万人次),0.0,19.64,19.43,19.96,18.18,18.0,18.9,19.55,19.75,18.91,16.69,18.09,19.41,16.78
葡萄牙入境游客(万人次),0.0,5.63,5.64,5.5,5.34,5.2,4.9,4.86,4.7,4.77,4.36,4.39,4.83,4.45
瑞典入境游客(万人次),0.0,11.01,11.19,11.53,11.84,14.2,15.9,17.16,17.01,15.45,12.58,13.77,14.51,12.96
瑞士入境游客(万人次),0.0,7.4,7.23,7.26,7.27,8.0,8.1,8.28,7.53,7.43,6.26,6.34,6.46,5.79
俄罗斯入境游客(万人次),0.0,241.55,235.68,197.66,158.23,204.6,218.6,242.61,253.63,237.03,174.3,312.34,300.39,240.51
拉丁美洲入境游客(万人次),0.0,45.37,42.65,39.04,34.98,34.6,35.4,35.31,33.69,30.05,23.1,26.03,24.26,19.58
北美洲入境游客(万人次),0.0,333.48,311.9,299.09,276.56,276.0,277.0,282.64,286.42,269.49,226.01,232.12,256.15,221.0
加拿大入境游客(万人次),0.0,85.02,80.6,74.13,67.98,66.7,68.4,70.83,74.8,68.53,55.03,53.47,57.72,49.91
美国入境游客(万人次),0.0,248.46,231.29,224.96,208.58,209.3,208.5,211.81,211.61,200.96,170.98,178.64,190.12,171.03
大洋洲及太平洋岛屿入境游客(万人次),0.0,91.31,89.22,82.55,77.64,81.0,86.3,91.49,85.93,78.93,67.24,68.88,72.85,63.86
澳大利亚入境游客(万人次),0.0,75.22,73.43,67.51,63.73,67.2,72.3,77.43,72.62,66.13,56.15,57.15,60.74,53.81
新西兰入境游客(万人次),0.0,14.65,14.37,13.62,12.54,12.7,12.9,12.83,12.09,11.61,10.04,10.52,10.87,8.86
其他国家入境游客(万人次),0.0,0.22,0.22,0.22,0.21,0.18,0.22,0.19,0.19,0.21,0.22,0.23,0.31,0.43
