指标,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
旅行社数(个),43064.0,39580.0,32603,31001.0,31074.0,38943.0,37309.0,29717.0,27939.0,27621.0,26650.0,26054.0,24944.0,23690.0,22784.0,20399.0,20110.0,18943.0,17957.0
星级饭店总数(个),6889.0,7245.0,7337,7676.0,8430.0,10130.0,8962.0,9566.0,11685.0,12327.0,12803.0,13293.0,12807.0,13513.0,13991.0,14237.0,14099.0,13583.0,12751.0
入境游客(万人次),13190.19,8202.54,0,0.0,0.0,14530.78,14119.83,13948.24,13844.38,13382.04,12849.83,12907.78,13240.53,13542.35,13376.22,12647.59,13002.74,13187.33,12494.21
外国人入境游客(万人次),2693.96,1378.38,0,0.0,0.0,3188.34,3054.29,2916.53,2815.12,2598.54,2636.08,2629.03,2719.16,2711.2,2612.69,2193.75,2432.53,2610.97,2221.03
港澳同胞入境游客(万人次),10163.52,6627.05,0,0.0,0.0,10729.01,10451.93,10444.59,10456.26,10233.64,9677.16,9762.5,9987.35,10304.85,10249.48,10005.44,10131.65,10113.57,9831.84
台湾同胞入境游客(万人次),332.71,197.1,0,0.0,0.0,613.42,613.61,587.13,573.0,549.86,536.59,516.25,534.02,526.3,514.06,448.4,438.56,462.79,441.35
入境过夜游客(万人次),0.0,3431.05,0,0.0,0.0,6572.52,6289.57,6073.84,5926.73,5688.57,5562.2,5568.59,5772.49,5758.07,5566.45,5087.52,5304.92,5471.98,4991.3
国内居民出境人数(万人次),14588.56,10096.5,0,0.0,0.0,16920.54,16199.34,14272.74,13513.0,12786.0,11659.32,9818.52,8318.17,7025.0,5738.65,4765.62,4584.44,4095.4,3452.36
国内居民因私出境人数(万人次),14014.74,9684.49,0,0.0,0.0,16211.43,15501.69,13581.56,12850.0,12172.0,11002.91,9197.08,7705.51,6411.79,5150.79,4220.97,4013.12,3492.4,2879.91
国内游客(万人次),561520.0,489100.0,253000,324610.0,287900.0,600600.0,553900.0,500100.0,443500.0,399000.0,361100.0,326200.0,295700.0,264100.0,210300.0,190200.0,171200.0,161000.0,139400.0
国际旅游外汇收入(百万美元),94240.0,52960.0,0,0.0,0.0,131254.0,127103.01,123417.0,120000.0,113650.0,105380.0,51664.0,50028.0,48464.0,45814.0,39675.0,40843.0,41919.0,33949.0
国内旅游总花费(亿元),57543.22,49133.1,20444,29190.75,22286.3,57250.92,51278.29,45660.77,39389.8,34195.1,30311.86,26276.1,22706.2,19305.39,12579.77,10183.7,8749.3,7770.6,6229.7
